1.000000000000000000e+00,  1.462501925120207602e-10
1.000000000000000000e+00,  1.769133624318630638e-11
1.000000000000000000e+00,  1.610514696940334501e-17
1.000000000000000000e+00,  6.473075413754116373e-18
9.997554421424865723e-01,  2.444995916448533535e-04
1.000000000000000000e+00,  1.992710060546090678e-14
1.000000000000000000e+00,  8.859743161337974016e-09
9.999938011169433594e-01,  6.206245416251476854e-06
1.000000000000000000e+00,  1.377583214601935113e-13
1.000000000000000000e+00,  7.226607069890296107e-19
